Destino |Nombre Casa|Descripción Casa|Número de Habitaciones|Baños|Tipo de propiedad|Confort|Plan alimenticio|Nivel de servicio|Ubicación|Vista|Precio|Simple|Doble|Triple||Max-Adultos||Proveedor|Modalidad|Dirección |Municipio|Email|Fax|Teléfono|Web|Latitud|Longitud|Segmento Turístico||Hotel Amenity|Hotel Amenity|Hotel Amenity|Hotel Amenity|Hotel Amenity|Hotel Amenity|Hotel Amenity|Hotel Amenity|Hotel Amenity|Hotel Amenity|Hotel Amenity|Hotel Amenity||||Room Amenity|Room Amenity|Room Amenity|Room Amenity|Room Amenity|Room Amenity|Room Amenity|Room Amenity|Room Amenity|Room Amenity|Room Amenity
VEDADO|Apartamento Gertrudis|"El Apartamento Gertrudis se encuentra en la calle Línea, en el Vedado. A pocos metros de la céntrica Avenida de los Presidentes (Calle G) y del malecón habanero. En sus alrededores se pueden encontrar variados sitios de interés para los visitantes como restaurantes, cafeterías, clubes nocturnos con presentaciones en directo, tiendas, merados, etc.

El Apartamento Gertrudis se encuentra en un 18vo piso, por lo que la vista desde todas las estancias es espectacular. Se pueden apreciar tanto el mar como gran parte de la ciudad.

Tiene tres amplias habitaciones, todas muy luminosas y con aire acondicionado. Una de las habitaciones tiene el baño interior y privado, las otras dos comparten un baño. Todas las habitaciones tienen camas Queen-Size y una de ellas tiene además una cama personal.

El apartamento cuenta con una amplísima terraza con varias zonas de estar y toldos para variar la intensidad de la luz natural. Tiene un salón-comedor muy acogedor, TV LED 42”, mini-bar, y una cocina totalmente equipada."|3|3|Apartamento|Standard|Bajo Demanda|Standard|Ciudad|Calle E|200|||||6||Havaning|Ciudad|Calle E No 158 entre calzada y 9na, Piso 18, ala A|Vedado|booking@havaning.com|5358052076|5352678946||||Turismo de negocio, cultural||Aire acondicionado|Caja Fuerte|Minibar|Recepción 24 horas|Taxi|Equipos audiovisuales|Lavandería ($)|Masaje ($)|Masaje ($)|Staff multilingue|||||Servicio de Habitaciones |Secador de Pelo |Minibar |Baño Privado |Agua Fria y Caliente |Caja de seguridad|Electricidad 110V/60Hz |Electricidad 220V/60Hz ||||
VEDADO|Atico Odette|"El Ático Odette se encuentra en el corazón del Vedado, en la calle Calzada.  Justo en frente está el Malecón Habanero y en sus alrededores hay gran variedad de bares, restaurantes, centros nocturos, entre otros atractivos. 

Se trata de un ático duplex de tres amplias habitaciones con camas king-size, dos baños completos con ducha y otro medio baño. Tiene salón, terrazas, piscina privada con vistas panorámicas, bar, neveras, cocina nueva totalmente equipada y todo tipo de comodidades."|3|3|Atico|Superior|Bajo Demanda|Superior|Ciudad|al Mar|300|||||6||Havaning|Ciudad|Calle Calzada # 51 Esq 13 piso 15|Vedado|booking@havaning.com|5358052076|5352678946||||Turismo de negocio, cultural||Aire acondicionado|Caja Fuerte|Minibar|Recepción 24 horas|Taxi|Equipos audiovisuales|Lavandería ($)|Masaje ($)|Masaje ($)|||||||Servicio de Habitaciones |Secador de Pelo |Minibar |Baño Privado |Agua Fria y Caliente |Caja de seguridad|Electricidad 110V/60Hz |Electricidad 220V/60Hz |||
VEDADO|Minihotel RC|"El MiniHotel RC se encuentra en la calle E del Vedado, a poca distancia tanto de la céntrica calle 23 como de la calle Línea. Rodeado de todo tipo de comercios y lugares para el ocio como cines, teatros, museos, restaurantes, cafeterías, etc.

Se compone de cuatro amplias habitaciones, sala de estar, comedor, cocina y jardín exterior.

Cada una de las habitaciones tiene las siguientes características:

Tres camas individuales.
Baño independiente con ducha, agua caliente y la presión de agua constante.
Armario con caja de seguridad.
Aire acondicionado tipo Split.
Mini bar.
LED TV 32″ + paquete de entretenimiento audiovisual."|4|4|Casa|Standard|Bajo Demanda|Standard|Ciudad|Calle E||50|70|90||12||Havaning|Ciudad|Calle E # 307 e/ 13 y 15|Vedado|booking@havaning.com|5358052076|5352678946||||Estudiantil, Cultural||Aire acondicionado|Minibar|Recepción 24 horas|Taxi|Equipos audiovisuales|Lavandería ($)|Masaje ($)|Masaje ($)|Minibar|||||||Servicio de Habitaciones |Secador de Pelo |Minibar |Baño Privado |Agua Fria y Caliente |Caja de seguridad|Electricidad 110V/60Hz |Electricidad 220V/60Hz |||
VEDADO|Atico Arte-D|"El ático Arte-D se encuentra en la calle 17 en el céntrico barrio del Vedado y muy cercano a todo tipo de atractivos para los visitantes: restaurantes, cafeterías, bares, centros nocturnos, tiendas, mercados, etc. A solo 5 minutos en auto del Centro Histórico de la Ciudad.

El ático cuenta con tres habitaciones climatizadas y  con vistas a la ciudad:

Junior Room: Habitación de 16 m2 con cama de 160 x 190 cm, grandes ventanales con vistas a la ciudad y al mar. Baño privado con ducha de agua fría y caliente las 24 horas, secador de pelo y kit de cortesía. Mini-bar y caja fuerte.

Junior Plus Room: Habitación de 16 m2 con camas dobles de 100 x 190 cm cada una. Ventanales con vistas al mar y a la ciudad. Amplio baño privado con ducha de agua fría y caliente las 24 horas, secador de pelo y kit de cortesía. Dispone de mini-bar, caja fuerte y una terraza de 12 m2.

Suite Room: Habitación de 36 m2 con cama de 200 x 200 cm. Amplios ventanales con vistas al mar y a la ciudad. Dispone de baño con bañera y con ducha de agua fría y caliente las 24 horas, secador de pelo y kit de cortesía. Mini-bar, caja fuerte y tres terrazas privadas, una de ellas acristalada y climatizada.

Puede rentarse el ático completo o las habitaciones individualmente. La propiedad cuenta con una amplia terraza de uso común  con desayunador, solarium con tumbonas, palmeras y una pequeña piscina para refrescarse en los días más calurosos."|3|3|Atico|Superior|Bajo Demanda|Superior|Ciudad|Ciudad|300|||||6||Havaning|Ciudad|Calle 17 # 260 e/ I y J Penthouse, entrada por I|Vedado|booking@havaning.com|5358052076|5352678946||||Turismo de negocio, cultural||Aire acondicionado|Caja Fuerte|Minibar|Recepción 24 horas|Taxi|Equipos audiovisuales|Lavandería ($)|Masaje ($)||||||||Servicio de Habitaciones |Secador de Pelo |Minibar |Baño Privado |Agua Fria y Caliente |Caja de seguridad|Electricidad 110V/60Hz |Electricidad 220V/60Hz |||
PLAYA|Hacienda Cañaveral|"Hacienda de estilo español con grandes arcos y puertas, la Hacienda Cañaveral fue construida en 1949, con reparaciones mayores en 2014 que conserva su espléndida arquitectura de las grandes salas de estar y dormitorios amplios con una decoración sofisticada, mezcla de buen gusto de los artefactos más disímiles de la época dorada de Cuba con muebles europeos y de estilo moderno.

Esto hace a la Hacienda Cañaveral uno de los lugares más bellos de La Habana, ideal para su estancia en Cuba.

Ubicada en el municipio Playa a 5 minutos del centro de Vedado y 10min de la legendaria Habana Vieja.

Con tres hermosas habitaciones, todas con baño privado, la Hacienda Cañaveral es ideal para familias o grupos de amigos. Debido a esta condición la casa se alquila en su conjunto e incluye el servicio de ama de llaves las 24 horas del día.

Junior Room: Habitación de 16 m2 con cama de 160 x 190 cm. Baño con ducha de agua fría y caliente las 24 horas, secador de pelo y kit de cortesía. Mini-bar y caja fuerte.

Junior Plus Room: Habitación de 16 m2 con cama doble de 100 x 200 cm cada una. Baño amplio con ducha de agua fría y caliente las 24 horas, secador de pelo y kit de cortesía. Mini-bar y caja fuerte.

Suite Room: Habitación de 36 m2 con cama de 200 x 200 cm. Baño amplio con bañera y con ducha de agua fría y caliente las 24 horas. Zona de estar, mini-bar, caja fuerte y salida a terraza y jardín."|3|3|Casa|Superior|Bajo Demanda|Superior|Ciudad|Calle 44|350|||||6||Havaning|Ciudad|Calle 39 A # 4402 e/ 44 y 46|Playa|booking@havaning.com|5358052076|5352678946||||Turismo de negocio, cultural||Aire acondicionado|Caja Fuerte|Minibar|Recepción 24 horas|Taxi|Equipos audiovisuales|Lavandería ($)|Masaje ($)||||||||Servicio de Habitaciones |Secador de Pelo |Minibar |Baño Privado |Agua Fria y Caliente |Caja de seguridad|Electricidad 110V/60Hz |Electricidad 220V/60Hz |||
PLAYA|Apartamento Flora|"El apartamento Flora se encuentra en Miramar, uno de los mejores barrios de la capital. A escasos 200 metros del mar y de la desembocadura del Rio Almendares. En sus alrededores puede encontrar todo tipo de comercios y restaurantes.

El apartamento dispone de tres habitaciones climatizadas con baños en suite, armarios espaciosos y camas king size. Tiene además sala de televisión, salón de estar, comedor, terraza amplia y cocina equipada. Todas las estancias tienen ventanas exteriores que aportan luz y fresco."|3|3|Apartamento|Standard|Bajo Demanda|Standard|Ciudad|Calle 3ra|150|||||6||Havaning|Ciudad|Calle 3ra # 57 e/ Cero y A|Playa|booking@havaning.com|5358052076|5352678946||||Turismo de negocio, cultural||Aire acondicionado|Caja Fuerte|Minibar|Recepción 24 horas|Taxi|Equipos audiovisuales|Lavandería ($)|Masaje ($)|Parqueo|||||||Servicio de Habitaciones |Secador de Pelo |Minibar |Baño Privado |Agua Fria y Caliente |Caja de seguridad|Electricidad 110V/60Hz |Electricidad 220V/60Hz |||
PLAYA|Casa Pablo|"La Casa Pablo se encuentra en la calle 3ra en Miramar a solo 150 metros de la costa. En sus alrededores podrá encontrar restaurantes, cafeterías, clubes nocturnos, bancos y otros sitios de interés.

Esta propiedad está distribuida en dos plantas. En la planta superior hay tres habitaciones, cada una con baño privado. Hay además un amplio salón, cocina y una gran terraza. En la planta inferior hay cuatro habitaciones, dos de ellas comparten baño y las otras tienen el baño interior. Todas las habitaciones son muy amplias y tienen TV, aire acondicionado y demás comodidades. En ésta planta hay varios salones, comedor, bar, terraza, jardín y una piscina.

Se puede rentar de forma independiente la planta superior de la inferior, ya que cada una tiene entrada individual."|7|6|Casa|Standard|Bajo Demanda|Standard|Ciudad|Calle 3ra|750|||||14||Havaning|Ciudad|Calle 3ra # 205 e/ 2 y 4|Playa|booking@havaning.com|5358052076|5352678946||||Turismo de negocio, cultural||Aire acondicionado|Caja Fuerte|Minibar|Recepción 24 horas|Taxi|Equipos audiovisuales|Lavandería ($)|Masaje ($)|Parqueo|||||||Servicio de Habitaciones |Secador de Pelo |Minibar |Baño Privado |Agua Fria y Caliente |Caja de seguridad|Electricidad 110V/60Hz |Electricidad 220V/60Hz |||
PLAYA|Casa Ivette|"La Casa Ivette se encuentra a 100 metros de la 5ta Avenida, en Miramar. Está en una zona muy tranquila y segura de la ciudad, pero a su vez cercana a variados sitios de interés: La Marina Heminway, el Club Habana, Centro Comercial Palco, restaurantes como La Vicaria, La Ferminia, El Palenque, La Cecilia, etc. La casa está a 15 minutos del centro del Vedado.

Se encuentra en un 1er piso.  Tiene un recibidor, un salón-comedor muy acogedor y climatizado, cocina equipada, terraza y acceso al jardín. Cuenta con 2 habitaciones también climatizadas y con camas king-size, baños privados con ducha de agua fría y caliente en cada habitación, armarios y demás comodidades."|2|2|Casa|Standard|Bajo Demanda|Standard|Ciudad|Calle 17B|120|||||4||Havaning|Ciudad|Calle 17 B # 16413 altos e/ 164 y 174|Playa|booking@havaning.com|5358052076|5352678946||||Turismo de negocio, cultural||Aire acondicionado|Caja Fuerte|Minibar|Recepción 24 horas|Taxi|Equipos audiovisuales|Lavandería ($)|Masaje ($)|Parqueo|||||||Servicio de Habitaciones |Secador de Pelo |Minibar |Baño Privado |Agua Fria y Caliente |Caja de seguridad|Electricidad 110V/60Hz |Electricidad 220V/60Hz |||
PLAYA|Villa Flora|"Villa Flora es una hermosa residencia de lujo de los años 50 ubicada en una zona exclusiva de Miramar. Está muy cerca de la 5ta Avenida y a pocos minutos de lugares de interés como la Casa de la Música, La Fábrica de Arte, restaurantes, cafeterías, bares y clubes nocturnos, lo que hace del lugar un excelente punto de partida para la diversión.

Villa Flora es una casa de 350 m2 distribuidos en 5 habitaciones:

Una suite principal con cama king size, aire acondicionado tipo split, armario, baño privado y salida directa al jardín.

Las otras habitaciones tienen similares características: camas matrimoniales, aire acondicionado tipo split, armarios y ventanales hacia el jardín. Estas habitaciones tienen baños intercalados.

La Villa cuenta además con dos salas de estar, dos comedores, cocina amplia, piscina privada, jardín con árboles frutales y cancha de frontón.

Tiene un garaje amplio y el desayuno está incluido en el precio. Se renta la casa completa."|5|3|Casa|Superior|Bajo Demanda|Superior|Ciudad|Calle 11|600|||||10||Havaning|Ciudad|Calle 11 # 605 e/ 6 y 41 M|Playa|booking@havaning.com|5358052076|5352678946||||Turismo de negocio, cultural||Aire acondicionado|Caja Fuerte|Minibar|Recepción 24 horas|Taxi|Equipos audiovisuales|Lavandería ($)|Masaje ($)|Parqueo|Piscina||||||Servicio de Habitaciones |Secador de Pelo |Minibar |Baño Privado |Agua Fria y Caliente |Caja de seguridad|Electricidad 110V/60Hz |Electricidad 220V/60Hz |||
PLAYA|Casa Ernesto|"Excelente Casa muy espaciosa ubicada en Miramar, a solo 20 metros de la 5ta avenida y muy cerca de los mejores centros de atracción de la zona. Muy cerca de esta casa podrá encontrar el Club Habana, La Marina Hemingway, así como excelentes restaurantes y centros nocturnos.

La casa cuenta con 5 espaciosas habitaciones, amplios salones, salas de estar, jardines y una excelente piscina en el centro de la propiedad. Todas las habitaciones cuentan con aire acondicionado, TV LED 32¨, caja de seguridad y camas king size.

Además la propiedad tiene áreas de estacionamiento,  una amplia sala de estar con equipos de reproducción y mini bar, con visuales hacia las terrazas, el jardín y la piscina."|5|5|Casa|Extra Superior|Bajo Demanda|Extra Superior|Ciudad|Calle 5ta Avenida|800|||||10||Havaning|Ciudad|Calle 162 # 307 e/ 3ra y 5ta|Playa|booking@havaning.com|5358052076|5352678946||||Turismo de negocio||Aire acondicionado|Caja Fuerte|Minibar|Recepción 24 horas|Taxi|Equipos audiovisuales|Lavandería ($)|Masaje ($)|Parqueo|Conserjería|Catering para eventos|Piscina||||Servicio de Habitaciones |Secador de Pelo |Minibar |Baño Privado |Agua Fria y Caliente |Caja de seguridad|Electricidad 110V/60Hz |Electricidad 220V/60Hz |Baño Privado|Jacuzzi|
